A,k,func_values
1e-07,157.07964,29131640.0
1e-07,314.15927,29140150.0
1e-07,471.23892,29130270.0
1e-07,628.31854,29111050.0
1e-07,785.3982,29131282.0
1e-07,942.47784,29162808.0
1e-07,1099.5575,29155760.0
1e-07,1256.6371,29157914.0
1e-07,1413.7167,29172338.0
1e-07,1570.7964,29156026.0
1e-07,1727.8761,29141902.0
1e-07,1884.9557,29164232.0
1e-07,2042.0353,29176234.0
1e-07,2199.115,29177406.0
1e-07,2356.1946,29178226.0
1e-07,2513.2742,29176838.0
2e-07,157.07964,29077680.0
2e-07,314.15927,29122696.0
2e-07,471.23892,29147788.0
2e-07,628.31854,29106576.0
2e-07,785.3982,29175882.0
2e-07,942.47784,29183588.0
2e-07,1099.5575,29153052.0
2e-07,1256.6371,29145744.0
2e-07,1413.7167,29163584.0
2e-07,1570.7964,29161084.0
2e-07,1727.8761,29131618.0
2e-07,1884.9557,29178288.0
2e-07,2042.0353,29147178.0
2e-07,2199.115,29178624.0
2e-07,2356.1946,29176362.0
2e-07,2513.2742,29152022.0
3e-07,157.07964,29095252.0
3e-07,314.15927,29135948.0
3e-07,471.23892,29119444.0
3e-07,628.31854,29122166.0
3e-07,785.3982,29164652.0
3e-07,942.47784,29170190.0
3e-07,1099.5575,29148526.0
3e-07,1256.6371,29157614.0
3e-07,1413.7167,29145860.0
3e-07,1570.7964,29171990.0
3e-07,1727.8761,29141276.0
3e-07,1884.9557,29148094.0
3e-07,2042.0353,29145966.0
3e-07,2199.115,29175064.0
3e-07,2356.1946,29149594.0
3e-07,2513.2742,29154058.0
4e-07,157.07964,29131340.0
4e-07,314.15927,29151786.0
4e-07,471.23892,29147904.0
4e-07,628.31854,29128988.0
4e-07,785.3982,29165148.0
4e-07,942.47784,29180078.0
4e-07,1099.5575,29186280.0
4e-07,1256.6371,29169684.0
4e-07,1413.7167,29163070.0
4e-07,1570.7964,29169968.0
4e-07,1727.8761,29129914.0
4e-07,1884.9557,29149734.0
4e-07,2042.0353,29165408.0
4e-07,2199.115,29177106.0
4e-07,2356.1946,29174588.0
4e-07,2513.2742,29154190.0
5e-07,157.07964,29105756.0
5e-07,314.15927,29166374.0
5e-07,471.23892,29184050.0
5e-07,628.31854,29160404.0
5e-07,785.3982,29205768.0
5e-07,942.47784,29173642.0
5e-07,1099.5575,29149562.0
5e-07,1256.6371,29176608.0
5e-07,1413.7167,29162790.0
5e-07,1570.7964,29148310.0
5e-07,1727.8761,29159254.0
5e-07,1884.9557,29151618.0
5e-07,2042.0353,29128956.0
5e-07,2199.115,29175846.0
5e-07,2356.1946,29175114.0
5e-07,2513.2742,29153002.0
6e-07,157.07964,29114038.0
6e-07,314.15927,29164010.0
6e-07,471.23892,29157622.0
6e-07,628.31854,29174540.0
6e-07,785.3982,29199752.0
6e-07,942.47784,29175162.0
6e-07,1099.5575,29165092.0
6e-07,1256.6371,29147416.0
6e-07,1413.7167,29177266.0
6e-07,1570.7964,29187180.0
6e-07,1727.8761,29155432.0
6e-07,1884.9557,29134764.0
6e-07,2042.0353,29128572.0
6e-07,2199.115,29132764.0
6e-07,2356.1946,29155318.0
6e-07,2513.2742,29178602.0
7e-07,157.07964,29133742.0
7e-07,314.15927,29151234.0
7e-07,471.23892,29199178.0
7e-07,628.31854,29165230.0
7e-07,785.3982,29140100.0
7e-07,942.47784,29178314.0
7e-07,1099.5575,29157574.0
7e-07,1256.6371,29153398.0
7e-07,1413.7167,29183648.0
7e-07,1570.7964,29187336.0
7e-07,1727.8761,29158418.0
7e-07,1884.9557,29120072.0
7e-07,2042.0353,29130102.0
7e-07,2199.115,29134062.0
7e-07,2356.1946,29171308.0
7e-07,2513.2742,29175936.0
8e-07,157.07964,29071146.0
8e-07,314.15927,29126272.0
8e-07,471.23892,29165434.0
8e-07,628.31854,29140724.0
8e-07,785.3982,29160014.0
8e-07,942.47784,29171078.0
8e-07,1099.5575,29154116.0
8e-07,1256.6371,29157792.0
8e-07,1413.7167,29163614.0
8e-07,1570.7964,29181072.0
8e-07,1727.8761,29136202.0
8e-07,1884.9557,29120496.0
8e-07,2042.0353,29115988.0
8e-07,2199.115,29125286.0
8e-07,2356.1946,29158966.0
8e-07,2513.2742,29172324.0
9e-07,157.07964,29122794.0
9e-07,314.15927,29126260.0
9e-07,471.23892,29088474.0
9e-07,628.31854,29141640.0
9e-07,785.3982,29169854.0
9e-07,942.47784,29184406.0
9e-07,1099.5575,29173020.0
9e-07,1256.6371,29150218.0
9e-07,1413.7167,29174494.0
9e-07,1570.7964,29185664.0
9e-07,1727.8761,29156724.0
9e-07,1884.9557,29117768.0
9e-07,2042.0353,29116522.0
9e-07,2199.115,29130744.0
9e-07,2356.1946,29127936.0
9e-07,2513.2742,29172194.0
1e-06,157.07964,29177738.0
1e-06,314.15927,29117334.0
1e-06,471.23892,29123286.0
1e-06,628.31854,29135316.0
1e-06,785.3982,29147010.0
1e-06,942.47784,29216772.0
1e-06,1099.5575,29206874.0
1e-06,1256.6371,29179904.0
1e-06,1413.7167,29225182.0
1e-06,1570.7964,29185128.0
1e-06,1727.8761,29191704.0
1e-06,1884.9557,29136084.0
1e-06,2042.0353,29129918.0
1e-06,2199.115,29120006.0
1e-06,2356.1946,29128642.0
1e-06,2513.2742,29172406.0
