A,grad
0.001,160504380.0
0.007102041,619710850.0
0.013204082,1125863600.0
0.019306121,1435966000.0
0.025408164,1243153000.0
0.031510204,1143803400.0
0.037612244,-179480720.0
0.04371429,-1495794.2
0.049816325,89728664.0
0.055918366,-28726594.0
0.06202041,-239046400.0
0.06812245,-182150990.0
0.07422449,-55673196.0
0.08032653,-3677551.2
0.086428575,44849956.0
0.092530616,129348550.0
0.098632656,-199651840.0
0.10473469,-130842260.0
0.11083673,-104906390.0
0.11693878,4269834.5
0.12304082,147751650.0
0.12914285,273075900.0
0.13524489,198499710.0
0.14134695,126445510.0
0.14744897,106990630.0
0.15355103,83882940.0
0.15965305,117962130.0
0.16575511,-178099840.0
0.17185715,-246632140.0
0.17795917,-327836060.0
0.18406123,-318372900.0
0.19016325,-236090080.0
0.19626531,-181157420.0
0.20236735,-147025140.0
0.20846939,-117126970.0
0.21457143,-86225310.0
0.22067346,-55935360.0
0.22677551,-50625890.0
0.23287755,-44906204.0
0.2389796,-38784704.0
0.24508163,-50242340.0
0.25118366,-52564300.0
0.25728568,-18525372.0
0.26338777,-57075020.0
0.2694898,-48006760.0
0.27559182,-31695886.0
0.28169388,-17733814.0
0.28779593,-5417020.5
0.29389796,-18232342.0
0.3,-11800060.0
0.301,-10676009.0
0.3114737,-758678.5
0.32194737,-9479224.0
0.33242106,-2037663.4
0.34289473,17223436.0
0.35336843,12159462.0
0.3638421,68072640.0
0.37431577,85482520.0
0.38478947,117382540.0
0.39526317,106455096.0
0.40573683,120437120.0
0.41621053,55096656.0
0.4266842,20658876.0
0.4371579,-4584125.0
0.44763157,-7753547.0
0.45810527,-62704676.0
0.46857893,32710406.0
0.47905263,2736660.5
0.48952633,20997364.0
0.5,-25134082.0
