A,growth
0.0,8167758000000.0
0.020408163,68107066000000.0
0.040816326,288082380000000.0
0.06122449,773162900000000.0
0.08163265,1232906000000000.0
0.10204081,1815096100000000.0
0.12244898,2518573000000000.0
0.14285713,3509996000000000.0
0.1632653,4468443400000000.0
0.18367347,5550265400000000.0
0.20408162,6754175000000000.0
0.2244898,8314101600000000.0
0.24489796,1.0038565e+16
0.26530612,1.1631196e+16
0.28571427,1.3661087e+16
0.30612245,1.5509532e+16
0.3265306,1.7479847e+16
0.34693876,1.9572271e+16
0.36734694,2.17871e+16
0.3877551,2.4122087e+16
0.40816325,2.6580947e+16
0.42857143,2.916203e+16
0.4489796,3.186075e+16
0.46938774,3.512538e+16
0.48979592,3.8083436e+16
0.5102041,4.164925e+16
0.53061223,4.5384344e+16
0.5510204,4.8731893e+16
0.57142854,5.2201264e+16
0.59183675,5.6371076e+16
0.6122449,6.009615e+16
0.63265306,6.394312e+16
0.6530612,6.7912392e+16
0.67346936,7.2004e+16
0.6938775,7.6217236e+16
0.7142857,8.122278e+16
0.7346939,8.569201e+16
0.75510204,9.028304e+16
0.7755102,9.5723774e+16
0.79591835,1.0057034e+17
0.8163265,1.0553935e+17
0.83673465,1.1062643e+17
0.85714287,1.1583932e+17
0.877551,1.2198071e+17
0.8979592,1.2744934e+17
0.9183673,1.3303994e+17
0.9387755,1.38752e+17
0.95918363,1.46361e+17
0.97959185,1.5234015e+17
1.0,1.5843712e+17
