A,growth
0.0,544873336001.4762
0.020408163,1107170298810.7986
0.040816326,1074536332173.5217
0.06122449,990669654797.601
0.08163265,1036279884189.319
0.10204081,1054961597942.152
0.12244898,1061269580271.5344
0.14285713,1050286687235.4163
0.1632653,1063149844235.1003
0.18367347,1069369707072.581
0.20408162,1074126252286.966
0.2244898,1066414080132.0842
0.24489796,1059837161691.0536
0.26530612,1064423571436.2256
0.28571427,1060998736811.5767
0.30612245,1062923251255.9243
0.3265306,1066361055849.0784
0.34693876,1071044358888.3762
0.36734694,1073508271434.668
0.3877551,1074125870817.3041
0.40816325,1077579697136.2584
0.42857143,1080681808426.9296
0.4489796,1080815704278.2607
0.46938774,1075861557779.0052
0.48979592,1077408798727.7217
0.5102041,1075253876607.5789
0.53061223,1072096070746.2684
0.5510204,1073657044602.8138
0.57142854,1075094803758.5614
0.59183675,1072265443276.1576
0.6122449,1074629029301.3665
0.63265306,1074954804392.6395
0.6530612,1076154907949.0157
0.67346936,1077262695847.2092
0.6938775,1079132278660.2416
0.7142857,1076742752698.0227
0.7346939,1076937683695.2599
0.75510204,1078664215385.0752
0.7755102,1076476105404.346
0.79591835,1077401169334.4834
0.8163265,1078273590451.277
0.83673465,1079094131694.0504
0.85714287,1080539520243.0363
0.877551,1077916153378.0651
0.8979592,1078677185353.5802
0.9183673,1078776748935.3394
0.9387755,1080724914498.7256
0.95918363,1076471146298.7411
0.97959185,1076614578891.6201
1.0,1077335938022.2964
