A,k,func_values
0.1,157.07964,77881176.0
0.1,314.15927,65147532.0
0.1,471.23892,46252510.0
0.1,628.31854,34336510.0
0.1,785.3982,36505028.0
0.1,942.47784,30052698.0
0.1,1099.5575,27649598.0
0.1,1256.6371,27141504.0
0.1,1413.7167,28083902.0
0.1,1570.7964,33698372.0
0.1,1727.8761,36023772.0
0.1,1884.9557,37229136.0
0.1,2042.0353,39202230.0
0.1,2199.115,29348682.0
0.1,2356.1946,10627686.0
0.1,2513.2742,3865913.8
0.2,157.07964,209445300.0
0.2,314.15927,187053570.0
0.2,471.23892,124233940.0
0.2,628.31854,85386024.0
0.2,785.3982,48093460.0
0.2,942.47784,45125268.0
0.2,1099.5575,31144416.0
0.2,1256.6371,23281520.0
0.2,1413.7167,26911078.0
0.2,1570.7964,26489942.0
0.2,1727.8761,24130168.0
0.2,1884.9557,24104556.0
0.2,2042.0353,27667952.0
0.2,2199.115,34840104.0
0.2,2356.1946,41149544.0
0.2,2513.2742,39877204.0
0.29999998,157.07964,325181470.0
0.29999998,314.15927,303055600.0
0.29999998,471.23892,265235620.0
0.29999998,628.31854,151943150.0
0.29999998,785.3982,90004024.0
0.29999998,942.47784,68770620.0
0.29999998,1099.5575,50266076.0
0.29999998,1256.6371,30392676.0
0.29999998,1413.7167,31143334.0
0.29999998,1570.7964,27228500.0
0.29999998,1727.8761,23125960.0
0.29999998,1884.9557,22211712.0
0.29999998,2042.0353,23890440.0
0.29999998,2199.115,32201054.0
0.29999998,2356.1946,29636132.0
0.29999998,2513.2742,24131820.0
0.39999998,157.07964,432495520.0
0.39999998,314.15927,413392480.0
0.39999998,471.23892,379610720.0
0.39999998,628.31854,239811180.0
0.39999998,785.3982,144982320.0
0.39999998,942.47784,85579520.0
0.39999998,1099.5575,81378904.0
0.39999998,1256.6371,55013916.0
0.39999998,1413.7167,46836150.0
0.39999998,1570.7964,38817960.0
0.39999998,1727.8761,31342730.0
0.39999998,1884.9557,31506000.0
0.39999998,2042.0353,30914918.0
0.39999998,2199.115,37047040.0
0.39999998,2356.1946,23556204.0
0.39999998,2513.2742,23098854.0
0.49999997,157.07964,523941020.0
0.49999997,314.15927,513508960.0
0.49999997,471.23892,489331620.0
0.49999997,628.31854,350036480.0
0.49999997,785.3982,206691710.0
0.49999997,942.47784,107581900.0
0.49999997,1099.5575,79016250.0
0.49999997,1256.6371,52797330.0
0.49999997,1413.7167,42959388.0
0.49999997,1570.7964,31440814.0
0.49999997,1727.8761,23633282.0
0.49999997,1884.9557,22530318.0
0.49999997,2042.0353,30122406.0
0.49999997,2199.115,31546054.0
0.49999997,2356.1946,23788704.0
0.49999997,2513.2742,24930074.0
0.6,157.07964,597387900.0
0.6,314.15927,598260000.0
0.6,471.23892,587527100.0
0.6,628.31854,528216300.0
0.6,785.3982,289529630.0
0.6,942.47784,139251780.0
0.6,1099.5575,85094250.0
0.6,1256.6371,59180060.0
0.6,1413.7167,47990708.0
0.6,1570.7964,33226678.0
0.6,1727.8761,22379634.0
0.6,1884.9557,21106188.0
0.6,2042.0353,27984954.0
0.6,2199.115,25893204.0
0.6,2356.1946,18290734.0
0.6,2513.2742,18592092.0
0.6999999,157.07964,650165500.0
0.6999999,314.15927,660190900.0
0.6999999,471.23892,685344700.0
0.6999999,628.31854,656350900.0
0.6999999,785.3982,373051600.0
0.6999999,942.47784,171192110.0
0.6999999,1099.5575,101840216.0
0.6999999,1256.6371,73343270.0
0.6999999,1413.7167,58562600.0
0.6999999,1570.7964,34554270.0
0.6999999,1727.8761,21087068.0
0.6999999,1884.9557,18688266.0
0.6999999,2042.0353,26219512.0
0.6999999,2199.115,20352854.0
0.6999999,2356.1946,18173790.0
0.6999999,2513.2742,18667680.0
0.79999995,157.07964,690528200.0
0.79999995,314.15927,704272060.0
0.79999995,471.23892,752532900.0
0.79999995,628.31854,730695550.0
0.79999995,785.3982,446726560.0
0.79999995,942.47784,207638220.0
0.79999995,1099.5575,123275600.0
0.79999995,1256.6371,93912700.0
0.79999995,1413.7167,74761730.0
0.79999995,1570.7964,40519784.0
0.79999995,1727.8761,23055604.0
0.79999995,1884.9557,19132958.0
0.79999995,2042.0353,26894724.0
0.79999995,2199.115,21681310.0
0.79999995,2356.1946,15931138.0
0.79999995,2513.2742,17332074.0
0.9,157.07964,720606460.0
0.9,314.15927,728106940.0
0.9,471.23892,799757000.0
0.9,628.31854,836069900.0
0.9,785.3982,517461820.0
0.9,942.47784,243749740.0
0.9,1099.5575,149005400.0
0.9,1256.6371,114892940.0
0.9,1413.7167,88997890.0
0.9,1570.7964,47573700.0
0.9,1727.8761,28465258.0
0.9,1884.9557,21684638.0
0.9,2042.0353,28305562.0
0.9,2199.115,28226496.0
0.9,2356.1946,16533973.0
0.9,2513.2742,12899205.0
1.0,157.07964,752508200.0
1.0,314.15927,748395300.0
1.0,471.23892,820592260.0
1.0,628.31854,973700540.0
1.0,785.3982,580664640.0
1.0,942.47784,276092860.0
1.0,1099.5575,171056800.0
1.0,1256.6371,133655416.0
1.0,1413.7167,103834410.0
1.0,1570.7964,54077320.0
1.0,1727.8761,31747142.0
1.0,1884.9557,27175878.0
1.0,2042.0353,29109296.0
1.0,2199.115,33087494.0
1.0,2356.1946,18057598.0
1.0,2513.2742,14525397.0
1.1,157.07964,791820100.0
1.1,314.15927,767159400.0
1.1,471.23892,817163200.0
1.1,628.31854,1061459650.0
1.1,785.3982,626506900.0
1.1,942.47784,306294620.0
1.1,1099.5575,187186180.0
1.1,1256.6371,147435060.0
1.1,1413.7167,113274264.0
1.1,1570.7964,58947010.0
1.1,1727.8761,34184204.0
1.1,1884.9557,29772414.0
1.1,2042.0353,30383236.0
1.1,2199.115,35596710.0
1.1,2356.1946,17129242.0
1.1,2513.2742,15452679.0
1.1999999,157.07964,840719740.0
1.1999999,314.15927,801324400.0
1.1999999,471.23892,818125630.0
1.1999999,628.31854,1071485760.0
1.1999999,785.3982,663216100.0
1.1999999,942.47784,346967300.0
1.1999999,1099.5575,203820530.0
1.1999999,1256.6371,157137420.0
1.1999999,1413.7167,119894056.0
1.1999999,1570.7964,63000170.0
1.1999999,1727.8761,38115484.0
1.1999999,1884.9557,33252102.0
1.1999999,2042.0353,32599502.0
1.1999999,2199.115,37574188.0
1.1999999,2356.1946,16279096.0
1.1999999,2513.2742,13404880.0
1.3,157.07964,888173760.0
1.3,314.15927,851165400.0
1.3,471.23892,831256600.0
1.3,628.31854,1074460000.0
1.3,785.3982,698372800.0
1.3,942.47784,386282980.0
1.3,1099.5575,220455280.0
1.3,1256.6371,166425620.0
1.3,1413.7167,126155750.0
1.3,1570.7964,69292020.0
1.3,1727.8761,41115016.0
1.3,1884.9557,36269332.0
1.3,2042.0353,35658784.0
1.3,2199.115,39420960.0
1.3,2356.1946,16913542.0
1.3,2513.2742,12150410.0
1.4,157.07964,909662340.0
1.4,314.15927,894527600.0
1.4,471.23892,856146900.0
1.4,628.31854,1090330200.0
1.4,785.3982,743057340.0
1.4,942.47784,416815200.0
1.4,1099.5575,236869810.0
1.4,1256.6371,174941950.0
1.4,1413.7167,132554700.0
1.4,1570.7964,75399210.0
1.4,1727.8761,45432456.0
1.4,1884.9557,39782524.0
1.4,2042.0353,35620932.0
1.4,2199.115,42782090.0
1.4,2356.1946,19324590.0
1.4,2513.2742,12212738.0
1.4999999,157.07964,922829100.0
1.4999999,314.15927,936474050.0
1.4999999,471.23892,900666560.0
1.4999999,628.31854,1093643900.0
1.4999999,785.3982,783525570.0
1.4999999,942.47784,447733760.0
1.4999999,1099.5575,250009300.0
1.4999999,1256.6371,179993680.0
1.4999999,1413.7167,137829890.0
1.4999999,1570.7964,79194610.0
1.4999999,1727.8761,48449516.0
1.4999999,1884.9557,42386156.0
1.4999999,2042.0353,37718024.0
1.4999999,2199.115,43938316.0
1.4999999,2356.1946,20892742.0
1.4999999,2513.2742,13432035.0
1.6,157.07964,946295100.0
1.6,314.15927,961079800.0
1.6,471.23892,944898560.0
1.6,628.31854,1088891900.0
1.6,785.3982,816847170.0
1.6,942.47784,474738180.0
1.6,1099.5575,258002160.0
1.6,1256.6371,181866240.0
1.6,1413.7167,142415260.0
1.6,1570.7964,81234850.0
1.6,1727.8761,51459156.0
1.6,1884.9557,43726804.0
1.6,2042.0353,41367228.0
1.6,2199.115,45542536.0
1.6,2356.1946,21289430.0
1.6,2513.2742,14585335.0
1.6999999,157.07964,973835460.0
1.6999999,314.15927,978481100.0
1.6999999,471.23892,993196700.0
1.6999999,628.31854,1090664700.0
1.6999999,785.3982,843576000.0
1.6999999,942.47784,493790430.0
1.6999999,1099.5575,260050900.0
1.6999999,1256.6371,183141250.0
1.6999999,1413.7167,147824300.0
1.6999999,1570.7964,84172700.0
1.6999999,1727.8761,54301504.0
1.6999999,1884.9557,45742348.0
1.6999999,2042.0353,45450400.0
1.6999999,2199.115,47569320.0
1.6999999,2356.1946,22011244.0
1.6999999,2513.2742,15507256.0
1.7999998,157.07964,1003672700.0
1.7999998,314.15927,1001569300.0
1.7999998,471.23892,1037154940.0
1.7999998,628.31854,1091310200.0
1.7999998,785.3982,889241400.0
1.7999998,942.47784,508100450.0
1.7999998,1099.5575,261309600.0
1.7999998,1256.6371,185281310.0
1.7999998,1413.7167,153301180.0
1.7999998,1570.7964,86656740.0
1.7999998,1727.8761,57028364.0
1.7999998,1884.9557,47528748.0
1.7999998,2042.0353,48956264.0
1.7999998,2199.115,47587836.0
1.7999998,2356.1946,22982394.0
1.7999998,2513.2742,16828062.0
1.9,157.07964,1039760600.0
1.9,314.15927,1011521700.0
1.9,471.23892,1058897340.0
1.9,628.31854,1079299000.0
1.9,785.3982,929185100.0
1.9,942.47784,514507600.0
1.9,1099.5575,268807400.0
1.9,1256.6371,187541760.0
1.9,1413.7167,158134830.0
1.9,1570.7964,90032430.0
1.9,1727.8761,59757884.0
1.9,1884.9557,49298388.0
1.9,2042.0353,52363144.0
1.9,2199.115,47624876.0
1.9,2356.1946,24089318.0
1.9,2513.2742,18146074.0
1.9999999,157.07964,1089020500.0
1.9999999,314.15927,1015640200.0
1.9999999,471.23892,1063042700.0
1.9999999,628.31854,1087024100.0
1.9999999,785.3982,966847700.0
1.9999999,942.47784,536602530.0
1.9999999,1099.5575,279502050.0
1.9999999,1256.6371,190899570.0
1.9999999,1413.7167,162778610.0
1.9999999,1570.7964,94325970.0
1.9999999,1727.8761,62667636.0
1.9999999,1884.9557,51659304.0
1.9999999,2042.0353,56405196.0
1.9999999,2199.115,48161900.0
1.9999999,2356.1946,25136288.0
1.9999999,2513.2742,19655234.0
2.1,157.07964,1133288600.0
2.1,314.15927,1026525200.0
2.1,471.23892,1056255700.0
2.1,628.31854,1111447400.0
2.1,785.3982,1009109700.0
2.1,942.47784,556403200.0
2.1,1099.5575,286056770.0
2.1,1256.6371,197272880.0
2.1,1413.7167,167852980.0
2.1,1570.7964,98878040.0
2.1,1727.8761,65541664.0
2.1,1884.9557,54121556.0
2.1,2042.0353,60219444.0
2.1,2199.115,49326050.0
2.1,2356.1946,26324292.0
2.1,2513.2742,21003414.0
2.2,157.07964,1184153200.0
2.2,314.15927,1044045250.0
2.2,471.23892,1059139260.0
2.2,628.31854,1115129700.0
2.2,785.3982,1072547140.0
