A,k,func_values
1e-05,157.07964,10537.448
1e-05,314.15927,10390.111
1e-05,471.23892,10190.37
1e-05,628.31854,9992.82
1e-05,785.3982,9835.453
1e-05,942.47784,9758.464
1e-05,1099.5575,9757.706
1e-05,1256.6371,9822.405
1e-05,1413.7167,9920.589
1e-05,1570.7964,10018.292
1e-05,1727.8761,10089.989
1e-05,1884.9557,10118.405
1e-05,2042.0353,10105.219
1e-05,2199.115,10064.524
1e-05,2356.1946,10018.617
1e-05,2513.2742,9985.808
2e-05,157.07964,11099.551
2e-05,314.15927,10799.862
2e-05,471.23892,10393.851
2e-05,628.31854,9990.64
2e-05,785.3982,9684.438
2e-05,942.47784,9527.259
2e-05,1099.5575,9528.216
2e-05,1256.6371,9657.763
2e-05,1413.7167,9854.557
2e-05,1570.7964,10050.837
2e-05,1727.8761,10189.904
2e-05,1884.9557,10242.7295
2e-05,2042.0353,10215.259
2e-05,2199.115,10136.952
2e-05,2356.1946,10047.129
2e-05,2513.2742,9977.974
3.0000001e-05,157.07964,11683.307
3.0000001e-05,314.15927,11219.651
3.0000001e-05,471.23892,10602.706
3.0000001e-05,628.31854,9992.89
3.0000001e-05,785.3982,9533.047
3.0000001e-05,942.47784,9299.836
3.0000001e-05,1099.5575,9303.368
3.0000001e-05,1256.6371,9496.18
3.0000001e-05,1413.7167,9789.585
3.0000001e-05,1570.7964,10082.835
3.0000001e-05,1727.8761,10292.016
3.0000001e-05,1884.9557,10370.861
3.0000001e-05,2042.0353,10330.589
3.0000001e-05,2199.115,10211.894
3.0000001e-05,2356.1946,10075.407
3.0000001e-05,2513.2742,9972.05
4e-05,157.07964,12284.331
4e-05,314.15927,11647.254
4e-05,471.23892,10808.92
4e-05,628.31854,9993.673
4e-05,785.3982,9383.727
4e-05,942.47784,9075.916
4e-05,1099.5575,9082.533
4e-05,1256.6371,9337.391
4e-05,1413.7167,9728.308
4e-05,1570.7964,10118.55
4e-05,1727.8761,10396.068
4e-05,1884.9557,10502.679
4e-05,2042.0353,10445.075
4e-05,2199.115,10286.949
4e-05,2356.1946,10105.109
4e-05,2513.2742,9965.796
5.0000002e-05,157.07964,12903.261
5.0000002e-05,314.15927,12089.44
5.0000002e-05,471.23892,11024.074
5.0000002e-05,628.31854,9995.396
5.0000002e-05,785.3982,9237.813
5.0000002e-05,942.47784,8856.512
5.0000002e-05,1099.5575,8864.157
5.0000002e-05,1256.6371,9182.007
5.0000002e-05,1413.7167,9668.375
5.0000002e-05,1570.7964,10155.705
5.0000002e-05,1727.8761,10502.589
5.0000002e-05,1884.9557,10634.189
5.0000002e-05,2042.0353,10562.155
5.0000002e-05,2199.115,10361.345
5.0000002e-05,2356.1946,10134.673
5.0000002e-05,2513.2742,9959.14
6.0000002e-05,157.07964,13534.953
6.0000002e-05,314.15927,12533.824
6.0000002e-05,471.23892,11235.643
6.0000002e-05,628.31854,9999.786
6.0000002e-05,785.3982,9091.655
6.0000002e-05,942.47784,8641.757
6.0000002e-05,1099.5575,8650.562
6.0000002e-05,1256.6371,9028.356
6.0000002e-05,1413.7167,9610.781
6.0000002e-05,1570.7964,10194.352
6.0000002e-05,1727.8761,10610.474
6.0000002e-05,1884.9557,10768.394
6.0000002e-05,2042.0353,10680.408
6.0000002e-05,2199.115,10438.393
6.0000002e-05,2356.1946,10164.596
