A,k,func_values
1e-07,157.07964,10003.288
1e-07,314.15927,10001.827
1e-07,471.23892,10000.082
1e-07,628.31854,9998.347
1e-07,785.3982,9996.996
1e-07,942.47784,9996.222
1e-07,1099.5575,9996.14
1e-07,1256.6371,9996.566
1e-07,1413.7167,9997.309
1e-07,1570.7964,9997.975
1e-07,1727.8761,9998.483
1e-07,1884.9557,9998.526
1e-07,2042.0353,9998.44
1e-07,2199.115,9998.035
1e-07,2356.1946,9997.708
1e-07,2513.2742,9997.547
2e-07,157.07964,10008.642
2e-07,314.15927,10006.227
2e-07,471.23892,10002.58
2e-07,628.31854,9999.077
2e-07,785.3982,9996.322
2e-07,942.47784,9994.769
2e-07,1099.5575,9994.408
2e-07,1256.6371,9995.33
2e-07,1413.7167,9996.697
2e-07,1570.7964,9998.28
2e-07,1727.8761,9999.163
2e-07,1884.9557,9999.483
2e-07,2042.0353,9999.156
2e-07,2199.115,9998.489
2e-07,2356.1946,9997.711
2e-07,2513.2742,9997.18
3e-07,157.07964,10017.699
3e-07,314.15927,10014.077
3e-07,471.23892,10005.135
3e-07,628.31854,9999.744
3e-07,785.3982,9995.687
3e-07,942.47784,9993.116
3e-07,1099.5575,9992.841
3e-07,1256.6371,9994.145
3e-07,1413.7167,9996.323
3e-07,1570.7964,9998.6
3e-07,1727.8761,9999.95
3e-07,1884.9557,10000.349
3e-07,2042.0353,9999.755
3e-07,2199.115,9998.776
3e-07,2356.1946,9997.652
3e-07,2513.2742,9996.792
4e-07,157.07964,10012.987
4e-07,314.15927,10010.624
4e-07,471.23892,10009.68
4e-07,628.31854,10000.44
4e-07,785.3982,9994.969
4e-07,942.47784,9991.671
4e-07,1099.5575,9991.121
4e-07,1256.6371,9992.993
4e-07,1413.7167,9996.057
4e-07,1570.7964,9998.964
4e-07,1727.8761,10000.769
4e-07,1884.9557,10001.162
4e-07,2042.0353,10000.481
4e-07,2199.115,9999.221
4e-07,2356.1946,9997.663
4e-07,2513.2742,9996.717
5e-07,157.07964,10013.156
5e-07,314.15927,10007.754
5e-07,471.23892,10001.997
5e-07,628.31854,10000.868
5e-07,785.3982,9994.259
5e-07,942.47784,9990.183
5e-07,1099.5575,9989.573
5e-07,1256.6371,9991.935
5e-07,1413.7167,9995.727
5e-07,1570.7964,9999.284
5e-07,1727.8761,10001.478
5e-07,1884.9557,10001.889
5e-07,2042.0353,10001.096
5e-07,2199.115,9999.452
5e-07,2356.1946,9997.568
5e-07,2513.2742,9996.4375
6e-07,157.07964,10017.69
6e-07,314.15927,10011.053
6e-07,471.23892,10002.011
6e-07,628.31854,9991.732
6e-07,785.3982,9993.585
6e-07,942.47784,9988.723
6e-07,1099.5575,9988.057
6e-07,1256.6371,9990.856
6e-07,1413.7167,9995.179
6e-07,1570.7964,9999.464
